RECORDER -----> 00:1a:79:6d:d1:a3 | 10.30.11.241 | 4/5/2023 0:34:0 | STATUS_START_RECORD /media/USB-0401db78d701c046e95deca0812d65b8336c011bb822952e4a1dba7eadb4805f7ea500000000000000000000a4b7de0900836d18a355810715ac22c1-1/11169_Local_4_News_at_11_undefined.ts
RECORDER -----> 00:1a:79:6d:d1:a3 | 10.30.11.241 | 4/5/2023 0:59:0 | STATUS_END_RECORD /media/USB-0401db78d701c046e95deca0812d65b8336c011bb822952e4a1dba7eadb4805f7ea500000000000000000000a4b7de0900836d18a355810715ac22c1-1/11169_Local_4_News_at_11_undefined.ts
RECORDER -----> 00:1a:79:6d:d1:a3 | 10.30.11.241 | 4/5/2023 0:59:0 | STATUS_END_RECORD false
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 4/5/2023 0:1:28 | INFORMATION_RECEIVED udp://@225.1.1.3:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 4/5/2023 0:1:28 | STATUS_PLAYING udp://@225.1.1.3:2001
MULTICAST -----> 00:1a:79:6d:d2:99 | 10.30.15.129 | 5/5/2023 0:1:15 | INFORMATION_RECEIVED udp://@225.1.1.129:2001
MULTICAST -----> 00:1a:79:6d:d2:99 | 10.30.15.129 | 5/5/2023 0:1:15 | STATUS_PLAYING udp://@225.1.1.129:2001
RECORDER -----> 00:1a:79:6d:d1:a3 | 10.30.11.241 | 5/5/2023 0:34:0 | STATUS_START_RECORD /media/USB-0401db78d701c046e95deca0812d65b8336c011bb822952e4a1dba7eadb4805f7ea500000000000000000000a4b7de0900836d18a355810715ac22c1-1/11172_Local_4_News_at_11_undefined.ts
RECORDER -----> 00:1a:79:6d:d1:a3 | 10.30.11.241 | 5/5/2023 0:59:0 | STATUS_END_RECORD false
RECORDER -----> 00:1a:79:6d:d1:a3 | 10.30.11.241 | 5/5/2023 0:59:0 | STATUS_END_RECORD /media/USB-0401db78d701c046e95deca0812d65b8336c011bb822952e4a1dba7eadb4805f7ea500000000000000000000a4b7de0900836d18a355810715ac22c1-1/11172_Local_4_News_at_11_undefined.ts
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 5/5/2023 0:1:38 | INFORMATION_RECEIVED udp://@225.1.1.3:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 5/5/2023 0:1:38 | STATUS_PLAYING udp://@225.1.1.3:2001
